,label,별점,참여,N_clicks,finish,pieces,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,영화,드라마,도서
189,빨간책,9.774615385,14914.42308,0.966019417,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
190,빵점동맹,9.591578947,22055.97368,0.927184466,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
191,삐뚤빼뚤해도 괜찮아,9.93255814,12337.97674,0.990291262,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192,사노라면,9.7225,1435.625,0.964401294,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,사또(Satto),9.854166667,6857.75,0.969255663,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
194,사랑in,9.37,206.875,0.92394822,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
195,사랑을 연기하다,9.794285714,28973.71429,0.951456311,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
196,사랑의 아쿠아리움,9.94810219,7565.883212,0.993527508,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
197,사랑의 외계인,9.956825397,8121.142857,0.993527508,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
198,사이드킥,9.89,10027.18182,0.991909385,1,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
199,사이드킥2,9.975384615,18345.46154,0.996763754,1,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
200,삵의 발톱,9.89,3127.923077,0.987055016,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
201,삼국전투기,9.680816327,2395.530612,0.896440129,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
202,삼봉이발소,9.922,28355.2,0.991909385,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
203,새끼손가락,9.937631579,4733.539474,0.990291262,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
204,새벽9시,9.664545455,17953,0.953074434,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
205,새와 같이,9.9425,29001,0.993527508,1,5,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
206,색으로 말하다,9.895238095,3650.904762,0.98381877,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,샌프란시스코 화랑관,9.980661157,14984.92562,0.998381877,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
208,생활의참견,9.943406593,7505.032967,0.993527508,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
209,섀도우,9.957692308,24112.23077,0.995145631,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
210,세개의시간,9.929230769,4372.615385,0.98381877,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
211,소곤소곤,9.9728,29285.88,0.996763754,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212,소나기야,9.949230769,15872.26923,0.993527508,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
213,소녀더와일즈,9.920909091,39289.54545,0.90776699,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
214,소년전[Limit],9.786176471,5838.338235,0.957928803,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
215,소설가J,9.93,5605.142857,0.990291262,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
216,소울카르텔,9.946,13282.8,0.995145631,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
217,손의 흔적,9.918,10202,0.885113269,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
218,송곳 1~3부,9.94,71406.5,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
